Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR955804,NGDC,2024-11-23,fastq,CRR955804_f1.fq.gz|CRR955804_r2.fq.gz,2290277766|2382424973,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955804/CRR955804_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955804/CRR955804_r2.fq.gz,CRX867055,N17,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189244,Metagenome or environmental sample,749906,gut metagenome,N17,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955857,NGDC,2024-11-23,fastq,CRR955857_f1.fq.gz|CRR955857_r2.fq.gz,1530111157|1600492912,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955857/CRR955857_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955857/CRR955857_r2.fq.gz,CRX867002,LGB4,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189190,Metagenome or environmental sample,749906,gut metagenome,LGB4,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955821,NGDC,2024-11-23,fastq,CRR955821_f1.fq.gz|CRR955821_r2.fq.gz,1658224476|1782296727,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955821/CRR955821_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955821/CRR955821_r2.fq.gz,CRX867038,M046,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189226,Metagenome or environmental sample,749906,gut metagenome,M046,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955806,NGDC,2024-11-23,fastq,CRR955806_f1.fq.gz|CRR955806_r2.fq.gz,1997580075|2027371748,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955806/CRR955806_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955806/CRR955806_r2.fq.gz,CRX867053,N12,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189241,Metagenome or environmental sample,749906,gut metagenome,N12,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955803,NGDC,2024-11-23,fastq,CRR955803_f1.fq.gz|CRR955803_r2.fq.gz,1748157006|1818150005,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955803/CRR955803_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955803/CRR955803_r2.fq.gz,CRX867056,N19,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189246,Metagenome or environmental sample,749906,gut metagenome,N19,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955870,NGDC,2024-11-23,fastq,CRR955870_f1.fq.gz|CRR955870_r2.fq.gz,2153412143|2249406381,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955870/CRR955870_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955870/CRR955870_r2.fq.gz,CRX866989,LC003,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189177,Metagenome or environmental sample,749906,gut metagenome,LC003,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955824,NGDC,2024-11-23,fastq,CRR955824_f1.fq.gz|CRR955824_r2.fq.gz,1934464759|2092253878,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955824/CRR955824_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955824/CRR955824_r2.fq.gz,CRX867035,M039,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189223,Metagenome or environmental sample,749906,gut metagenome,M039,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955819,NGDC,2024-11-23,fastq,CRR955819_f1.fq.gz|CRR955819_r2.fq.gz,1649492530|1698999616,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955819/CRR955819_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955819/CRR955819_r2.fq.gz,CRX867040,M049,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189228,Metagenome or environmental sample,749906,gut metagenome,M049,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955816,NGDC,2024-11-23,fastq,CRR955816_f1.fq.gz|CRR955816_r2.fq.gz,1823410276|1890799519,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955816/CRR955816_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955816/CRR955816_r2.fq.gz,CRX867043,N13,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189242,Metagenome or environmental sample,749906,gut metagenome,N13,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955867,NGDC,2024-11-23,fastq,CRR955867_f1.fq.gz|CRR955867_r2.fq.gz,2209052515|2310253205,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955867/CRR955867_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955867/CRR955867_r2.fq.gz,CRX866992,LGA3,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189180,Metagenome or environmental sample,749906,gut metagenome,LGA3,CRA013605,Shanghai Jiaotong University School of Medicine
